PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=274 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_req=275 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_req=276 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=277 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_req=278 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=279 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=280 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=281 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=282 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=283 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=284 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=285 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=286 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=287 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_req=288 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=289 ttl=64 time=57.3 ms
64 bytes from 10.0.0.2: icmp_req=290 ttl=64 time=87.1 ms
64 bytes from 10.0.0.2: icmp_req=291 ttl=64 time=92.8 ms
64 bytes from 10.0.0.2: icmp_req=292 ttl=64 time=90.6 ms
64 bytes from 10.0.0.2: icmp_req=293 ttl=64 time=96.5 ms
64 bytes from 10.0.0.2: icmp_req=294 ttl=64 time=94.4 ms
64 bytes from 10.0.0.2: icmp_req=295 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=296 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=297 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=298 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_req=299 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_req=300 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=301 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=302 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=303 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=304 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=305 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=306 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=307 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=308 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=309 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=310 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=311 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=312 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=313 ttl=64 time=58.3 ms
64 bytes from 10.0.0.2: icmp_req=314 ttl=64 time=88.1 ms
64 bytes from 10.0.0.2: icmp_req=315 ttl=64 time=94.8 ms
64 bytes from 10.0.0.2: icmp_req=316 ttl=64 time=92.6 ms
64 bytes from 10.0.0.2: icmp_req=317 ttl=64 time=98.5 ms
64 bytes from 10.0.0.2: icmp_req=318 ttl=64 time=96.3 ms
64 bytes from 10.0.0.2: icmp_req=319 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=320 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=321 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_req=322 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_req=323 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_req=324 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=325 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=326 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=327 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=328 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=329 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=330 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=331 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=332 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=333 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=334 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=335 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=336 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=337 ttl=64 time=58.3 ms
64 bytes from 10.0.0.2: icmp_req=338 ttl=64 time=88.1 ms
64 bytes from 10.0.0.2: icmp_req=339 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_req=340 ttl=64 time=91.7 ms
64 bytes from 10.0.0.2: icmp_req=341 ttl=64 time=97.5 ms
64 bytes from 10.0.0.2: icmp_req=342 ttl=64 time=95.4 ms
64 bytes from 10.0.0.2: icmp_req=343 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=344 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=345 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_req=346 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=347 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=348 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_req=349 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_req=350 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=351 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_req=352 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_req=353 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=354 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=355 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_req=356 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=357 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=358 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=359 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_req=360 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=361 ttl=64 time=53.3 ms
64 bytes from 10.0.0.2: icmp_req=362 ttl=64 time=79.1 ms
64 bytes from 10.0.0.2: icmp_req=363 ttl=64 time=84.8 ms
64 bytes from 10.0.0.2: icmp_req=364 ttl=64 time=81.6 ms
64 bytes from 10.0.0.2: icmp_req=365 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_req=366 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=367 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=368 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=369 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=370 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_req=371 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_req=372 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=373 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_req=375 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=376 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=377 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=378 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=379 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=380 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=381 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=383 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_req=384 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=385 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_req=386 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_req=387 ttl=64 time=57.3 ms
64 bytes from 10.0.0.2: icmp_req=388 ttl=64 time=95.2 ms
64 bytes from 10.0.0.2: icmp_req=389 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=390 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=391 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=392 ttl=64 time=97.6 ms
64 bytes from 10.0.0.2: icmp_req=393 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=394 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=395 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_req=396 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=397 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=398 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=399 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=400 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=401 ttl=64 time=145 ms
